"","lambda","L.ratio","L.ratio.p","K","PIC.variance.obs","PIC.variance.rnd.mean","PIC.variance.P","PIC.variance.Z"
"Genome size","0.88191","35.30134","< 0.00001",0.02821,0.17784,1.15253,0.004,-0.6683
"Leaf N content","0.80715","24.31236","< 0.00001",0.01307,0.75445,2.50351,0.006,-0.96521
"GDVI2","0.51437","0.20007","0.65466",0.01308,0.67454,2.45703,0.004,-1.22108
"Leaf length","0.5112","21.72339","< 0.00001",0.00861,0.89032,2.32911,0.019,-1.14403
"GNDVI","0.5108","6.5425","0.01053",0.01289,0.72961,2.36379,0.006,-1.29299
"Leaf thickness","0.43688","17.80921","2e-05",0.00705,0.96882,2.32237,0.046,-0.958
"Leaf dry matter content","0.40304","15.2342","9e-05",0.00231,2.93706,2.39429,0.762,0.45276
"Leaf width","0.40038","4.85625","0.02755",0.00419,1.91315,2.87819,0.347,-0.46209
"Leaf circularity","0.33923","19.74953","1e-05",0.00254,2.54649,2.24727,0.72,0.30765
"Biomass","0.25286","10.43251","0.00124",0.00737,1.23324,2.41767,0.174,-0.66064
"Leaf C content","0.25108","8.8502","0.00293",0.00675,1.04965,2.36397,0.031,-1.13163
"Leaf P content","0.23108","5.06295","0.02444",0.00344,1.92337,2.29233,0.432,-0.42268
"NDVI","0.13642","0.33065","0.56528",0.01133,0.79065,2.42739,0.002,-1.32295
"Seed mass","0.07709","0.27011","0.60326",0.0056,0.95454,1.88235,0.354,-0.44224
"SLA","0.07495","1.47261","0.22493",0.01013,0.50691,1.74187,0.008,-1.1711
"Petiole length","0.06625","1.13755","0.28617",0.00151,4.10478,2.01527,0.94,0.91599
"NIR","0.05787","0.85762","0.35441",0.00621,1.35593,2.39215,0.096,-0.9587
"REG","0.02349","0.17227","0.6781",0.00556,1.43792,2.44019,0.137,-0.88651
"RED","< 0.00001","< 0.00001","> 0.99999",0.00358,2.02762,2.44509,0.434,-0.37132
"Vegetative height","< 0.00001","< 0.00001","> 0.99999",0.00651,1.13071,2.2538,0.064,-1.03861
"Stem dry matter content","< 0.00001","< 0.00001","> 0.99999",0.00263,2.92663,2.47411,0.724,0.43182
"GRE","< 0.00001","< 0.00001","> 0.99999",0.00495,1.39773,2.34954,0.145,-0.84591
